"Address","Updated.Address","lon","lat"
"43-22 Queens Street","43-22 Queens Street, Queens, NY",-73.9393426,40.7473717
"72-20 Roosevelt Avenue","72-20 Roosevelt Avenue, Queens, NY",-73.892798,40.746585
"29-17 40th Avenue","29-17 40th Avenue, Queens, NY",-73.9348808,40.7521501
"89-67 165th St","89-67 165th St, Queens, NY",-87.5235115,41.5958906
"37-15 Junction Boulevard","37-15 Junction Boulevard, Queens, NY",-73.8704304,40.7511968
"22040 Northern Blvd","22040 Northern Blvd, Queens, NY",-73.7605185,40.7614349
"31-74 Steinway Street","31-74 Steinway Street, Queens, NY",-73.9187748,40.7595947
"47-53 43rd St","47-53 43rd St, Queens, NY",-73.9901731,40.7582759
"31-90 Steinway Street","31-90 Steinway Street, Queens, NY",-73.919006,40.7592573
"10609 101st Ave","10609 101st Ave, Queens, NY",-73.8368489,40.6870071
"57-11 Myrtle Avenue","57-11 Myrtle Avenue, Queens, NY",-73.9025728,40.7004716
"22-54 31st Street","22-54 31st Street, Queens, NY",-73.9123067,40.7752284
"7955 Albion Avenue","7955 Albion Avenue, Queens, NY",-73.8838988,40.739676
"243-03 Merrick Boulevard","243-03 Merrick Boulevard, Queens, NY",-73.7298323,40.6743721
"24502 Merrick Blvd","24502 Merrick Blvd, Queens, NY",-73.7281906,40.6737828
"153-17 Cross Island Parkway","153-17 Cross Island Parkway, Queens, NY",-73.8093276,40.7874246
"141-61 Northern Blvd","141-61 Northern Blvd, Queens, NY",-73.8244584,40.7648199
"165-24 Jamaica Avenue","165-24 Jamaica Avenue, Queens, NY",-73.7939615,40.7055562
"37-55 82nd Street","37-55 82nd Street, Queens, NY",-73.883726,40.748179
"77-63 Vleigh Pl","77-63 Vleigh Pl, Queens, NY",-73.8204721,40.7195071
"1039 Beach 20th Street","1039 Beach 20th Street, Queens, NY",-73.7532027,40.6033715
"29-22 Northern Blvd","29-22 Northern Blvd, Queens, NY",-73.9361896,40.7490714
"138-42 Jamaica Avenue","138-42 Jamaica Avenue, Queens, NY",-73.8140838,40.7028287
"5653 Myrtle Ave","5653 Myrtle Ave, Queens, NY",-73.9040958,40.7005496
"155-01 Jamaica Ave","155-01 Jamaica Ave, Queens, NY",-73.8013345,40.7032687
"98-08 Queens Boulevard","98-08 Queens Boulevard, Queens, NY",-73.8579968,40.7281836
"NWC of Long Island Expressway & William Floyd Parkway","NWC of Long Island Expressway & William Floyd Parkway, Queens, NY",-73.3342678,40.8009424
"6930 Austin St","6930 Austin St, Queens, NY",-73.8486779,40.7214197
"98-85 Queens Blvd","98-85 Queens Blvd, Queens, NY",-73.8550294,40.7278095
"107-25 Continental Avenue","107-25 Continental Avenue, Queens, NY",-73.8444979,40.7203584
"18220 Jamaica Ave","18220 Jamaica Ave, Queens, NY",-73.7780757,40.7086088
"2916 Ditmars Blvd","2916 Ditmars Blvd, Queens, NY",-73.9114799,40.7763447
"1105 Cypress Ave","1105 Cypress Ave, Queens, NY",-73.9039518,40.6987914
"113-25 Queens Blvd","113-25 Queens Blvd, Queens, NY",-73.8348887,40.7176189
"107-14 71st Avenue","107-14 71st Avenue, Queens, NY",-73.8447683,40.7215132
"107-02 Queens Blvd","107-02 Queens Blvd, Queens, NY",-73.8462887,40.7217209
"31-17 30th Avenue","31-17 30th Avenue, Queens, NY",-73.9206313,40.7667814
"350 St Nicholas Ave","350 St Nicholas Ave, Queens, NY",-73.9096726,40.7002739
"213-07 Northern Boulevard","213-07 Northern Boulevard, Queens, NY",-73.770112,40.760406
"34-21 Greenpoint Avenue","34-21 Greenpoint Avenue, Queens, NY",-73.9322669,40.7368137
"9106 Van Wyck Expy","9106 Van Wyck Expy, Queens, NY",-73.8152955,40.6992684
"145-08 Jamaica Ave","145-08 Jamaica Ave, Queens, NY",-73.8097374,40.701751
"11-08 44th Drive","11-08 44th Drive, Queens, NY",-73.9491235,40.7483165
"85-17 126th Street","85-17 126th Street, Queens, NY",-118.2740035,33.918875
"143-02 Jamaica Ave","143-02 Jamaica Ave, Queens, NY",-73.811626,40.702047
"7210 Beach Channel Dr","7210 Beach Channel Dr, Queens, NY",-73.8008463,40.5910778
"90-08 161st Street","90-08 161st Street, Queens, NY",-73.9245589,40.8271243
"71-43 Myrtle Ave","71-43 Myrtle Ave, Queens, NY",-73.8786537,40.7023516
"31-18 Farrington Street","31-18 Farrington Street, Queens, NY",-73.8337826,40.7686476
"90-52 Sutphin","90-52 Sutphin, Queens, NY",-73.8081535,40.7015651
"4016 National St","4016 National St, Queens, NY",-88.2787805,42.0264012
"131-11 Rockaway Blvd","131-11 Rockaway Blvd, Queens, NY",-73.8068446,40.6750022
"8 Court Square","8 Court Square, Queens, NY",-73.9425328,40.7456753
"187-12 UNION TURNPIK","187-12 UNION TURNPIK, Queens, NY",-73.7814186,40.7288948
"138-10 135th Avenue","138-10 135th Avenue, Queens, NY",-73.7994094,40.6676212
